                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0599,                 3.4519,                 1.0901,                0.00333,                      1,                 0.8162,                0.63812,                 0.7278,                 3.1583,                0.81512,                0.00018,                0.00018,                0.00018
                      2,                 0.7964,                 1.6104,                0.88973,                0.00333,                      1,                0.89901,                0.60799,                0.69657,                  3.062,                0.80114,             0.00037624,             0.00037624,             0.00037624
                      3,                0.75765,                 1.3641,                0.86757,                0.01048,                      1,                0.85226,                0.64695,                0.77251,                 2.9805,                0.80693,             0.00056852,             0.00056852,             0.00056852
                      4,                0.78667,                 1.2945,                0.88705,                      1,                0.05943,                0.96446,                0.75707,                0.75493,                 2.7372,                0.83362,             0.00075683,             0.00075683,             0.00075683
                      5,                0.73431,                 1.1992,                0.88737,                      1,                0.85086,                0.99461,                0.79975,                0.75275,                 2.5043,                0.85726,             0.00094119,             0.00094119,             0.00094119
                      6,                0.69484,                 1.1137,                0.88828,                      1,                0.94521,                 0.9801,                0.75959,                0.79757,                 2.2753,                0.92403,              0.0011216,              0.0011216,              0.0011216
                      7,                0.70374,                 1.0766,                0.88034,                      1,                0.99918,                  0.995,                0.76412,                0.89809,                 1.7839,                0.95841,               0.001298,               0.001298,               0.001298
                      8,                 0.7551,                 1.0934,                 0.9116,                      1,                0.95053,                0.99113,                0.77266,                0.83932,                 1.8118,                0.91856,              0.0014705,              0.0014705,              0.0014705
                      9,                0.77552,                 0.9693,                0.91406,                0.99635,                   0.98,                0.99224,                0.80648,                0.75196,                 1.2712,                0.90932,               0.001639,               0.001639,               0.001639
                     10,                0.68879,                0.94719,                 0.8881,                0.99899,                   0.98,                0.98377,                0.77862,                0.79772,                 1.2697,                0.92582,              0.0018036,              0.0018036,              0.0018036
                     11,                0.72003,                0.86765,                0.89516,                0.97496,                      1,                0.99461,                0.80212,                 0.8201,                 1.0028,                0.93014,               0.001802,               0.001802,               0.001802
                     12,                0.73901,                0.85628,                0.87905,                0.99729,                      1,                  0.995,                0.79242,                0.78648,                 0.9403,                0.89966,              0.0017822,              0.0017822,              0.0017822
                     13,                0.67324,                0.80084,                0.89538,                0.99833,                      1,                  0.995,                0.80857,                0.74449,                0.80219,                0.88539,              0.0017624,              0.0017624,              0.0017624
                     14,                0.77153,                0.83576,                0.93781,                0.99781,                      1,                  0.995,                 0.7417,                0.87068,                0.84121,                0.93315,              0.0017426,              0.0017426,              0.0017426
                     15,                0.79569,                0.80614,                0.90583,                0.99681,                      1,                  0.995,                0.79406,                 0.7951,                0.82689,                0.89513,              0.0017228,              0.0017228,              0.0017228
                     16,                0.75037,                0.78508,                0.90666,                      1,                0.99906,                  0.995,                0.77153,                0.80038,                0.83997,                0.91671,               0.001703,               0.001703,               0.001703
                     17,                0.72827,                0.75979,                 0.9008,                0.99585,                      1,                  0.995,                0.80514,                 0.8223,                0.82563,                0.91493,              0.0016832,              0.0016832,              0.0016832
                     18,                0.72596,                0.82232,                0.91088,                      1,                0.99743,                  0.995,                0.78191,                0.77436,                  0.727,                0.88873,              0.0016634,              0.0016634,              0.0016634
                     19,                0.68052,                0.69048,                0.90546,                0.99764,                      1,                  0.995,                0.80463,                0.73956,                0.67762,                0.87288,              0.0016436,              0.0016436,              0.0016436
                     20,                0.65966,                0.66074,                0.88468,                0.99795,                      1,                  0.995,                0.81293,                0.71143,                 0.6273,                0.86978,              0.0016238,              0.0016238,              0.0016238
                     21,                0.68221,                0.65404,                0.86065,                0.99841,                      1,                  0.995,                0.80063,                0.75677,                 0.6242,                0.87887,               0.001604,               0.001604,               0.001604
                     22,                0.63012,                0.60948,                0.86419,                0.99727,                      1,                  0.995,                0.81304,                0.71175,                 0.6156,                0.85165,              0.0015842,              0.0015842,              0.0015842
                     23,                0.64501,                0.59147,                0.86377,                0.99824,                      1,                  0.995,                0.79209,                0.73189,                0.70464,                0.88091,              0.0015644,              0.0015644,              0.0015644
                     24,                0.63906,                0.61727,                0.86611,                0.99721,                      1,                  0.995,                0.80194,                0.73595,                 0.6446,                0.87573,              0.0015446,              0.0015446,              0.0015446
                     25,                 0.6159,                0.56896,                0.85567,                0.99822,                      1,                  0.995,                0.80697,                0.78976,                0.60995,                0.87018,              0.0015248,              0.0015248,              0.0015248
                     26,                0.62123,                 0.5635,                0.85323,                 0.9994,                      1,                  0.995,                0.80603,                0.73229,                0.57974,                0.87694,               0.001505,               0.001505,               0.001505
                     27,                0.60267,                0.54603,                0.86202,                0.99864,                      1,                  0.995,                 0.8323,                0.69365,                0.55867,                0.85774,              0.0014852,              0.0014852,              0.0014852
                     28,                0.59537,                0.51811,                0.84261,                0.99851,                      1,                  0.995,                0.79777,                0.72817,                 0.5525,                0.87136,              0.0014654,              0.0014654,              0.0014654
                     29,                 0.6429,                0.55386,                0.85403,                0.99879,                      1,                  0.995,                0.79668,                0.74458,                0.56897,                0.85393,              0.0014456,              0.0014456,              0.0014456
                     30,                0.61136,                0.49677,                0.86119,                      1,                0.99921,                  0.995,                0.83049,                  0.687,                0.51512,                  0.846,              0.0014258,              0.0014258,              0.0014258
                     31,                 0.5973,                0.49507,                 0.8462,                0.99873,                      1,                  0.995,                0.81672,                0.72202,                0.51906,                0.85117,               0.001406,               0.001406,               0.001406
                     32,                0.63567,                 0.4967,                0.87153,                0.99841,                      1,                  0.995,                0.81578,                0.67283,                0.47711,                0.83444,              0.0013862,              0.0013862,              0.0013862
                     33,                0.60032,                0.48255,                0.83605,                0.99845,                      1,                  0.995,                 0.8255,                 0.6951,                0.47798,                0.83986,              0.0013664,              0.0013664,              0.0013664
                     34,                0.59832,                0.49868,                0.85762,                0.99863,                      1,                  0.995,                0.83372,                  0.675,                0.46504,                0.84812,              0.0013466,              0.0013466,              0.0013466
                     35,                0.57713,                0.47188,                0.85004,                0.99859,                      1,                  0.995,                0.81069,                0.67312,                 0.4854,                0.84721,              0.0013268,              0.0013268,              0.0013268
                     36,                0.55482,                0.47562,                0.85682,                0.99866,                      1,                  0.995,                0.81947,                0.69637,                0.49328,                0.84565,               0.001307,               0.001307,               0.001307
                     37,                0.57063,                0.47419,                 0.8589,                0.99814,                      1,                  0.995,                0.82265,                0.67656,                0.50784,                0.85056,              0.0012872,              0.0012872,              0.0012872
                     38,                0.54258,                0.46047,                0.83996,                0.99844,                      1,                  0.995,                0.83214,                0.66546,                0.45993,                0.85188,              0.0012674,              0.0012674,              0.0012674
                     39,                0.51605,                0.43107,                0.82755,                0.99861,                      1,                  0.995,                0.84884,                0.61824,                0.42909,                0.84033,              0.0012476,              0.0012476,              0.0012476
                     40,                0.52262,                0.44564,                0.84551,                0.99846,                      1,                  0.995,                0.83352,                0.64701,                0.44302,                0.84131,              0.0012278,              0.0012278,              0.0012278
                     41,                0.54575,                0.44256,                0.84534,                0.99874,                      1,                  0.995,                0.80946,                0.69236,                0.42489,                0.86787,               0.001208,               0.001208,               0.001208
                     42,                0.55676,                0.43045,                0.85557,                0.99797,                      1,                  0.995,                0.85522,                0.61194,                0.38849,                0.84102,              0.0011882,              0.0011882,              0.0011882
                     43,                0.51632,                0.40459,                0.83689,                0.99697,                      1,                  0.995,                0.83526,                0.64479,                0.40337,                0.85091,              0.0011684,              0.0011684,              0.0011684
                     44,                0.51164,                0.41395,                0.83268,                0.99705,                      1,                  0.995,                0.82837,                0.67185,                0.40747,                 0.8442,              0.0011486,              0.0011486,              0.0011486
                     45,                0.53337,                0.41189,                 0.8474,                0.99809,                      1,                  0.995,                0.81301,                 0.6833,                 0.4282,                0.85048,              0.0011288,              0.0011288,              0.0011288
                     46,                0.51389,                0.42514,                0.85312,                0.99646,                      1,                  0.995,                0.83336,                0.64699,                0.41895,                0.83848,               0.001109,               0.001109,               0.001109
                     47,                0.51253,                0.41134,                0.84368,                0.99731,                      1,                  0.995,                0.83661,                0.67797,                0.40554,                0.84618,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.5393,                0.41854,                0.84418,                0.99608,                      1,                  0.995,                0.82285,                0.67461,                0.40574,                0.84562,              0.0010694,              0.0010694,              0.0010694
                     49,                0.54141,                0.41217,                0.84394,                0.99684,                      1,                  0.995,                0.83799,                0.63394,                0.38475,                 0.8374,              0.0010496,              0.0010496,              0.0010496
