                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0447,                 3.4113,                 1.1238,                0.00333,                      1,                0.75062,                0.53204,                0.86763,                  3.161,                0.86707,                0.00018,                0.00018,                0.00018
                      2,                0.80601,                 1.6403,                0.89736,                0.00333,                      1,                 0.5933,                0.44591,                0.83408,                  3.061,                0.86021,             0.00037624,             0.00037624,             0.00037624
                      3,                0.73026,                 1.3333,                0.87288,                0.00333,                      1,                0.60045,                0.39114,                0.79039,                  3.078,                0.88644,             0.00056852,             0.00056852,             0.00056852
                      4,                0.76646,                 1.2754,                0.89533,                0.97604,                0.81498,                0.89374,                0.65088,                 0.9515,                 2.7835,                0.95608,             0.00075683,             0.00075683,             0.00075683
                      5,                 0.7598,                 1.1377,                0.91894,                      1,                0.57801,                0.94104,                0.67759,                0.96948,                 2.5279,                0.96621,             0.00094119,             0.00094119,             0.00094119
                      6,                0.71543,                 1.0421,                0.89288,                0.98886,                   0.86,                0.96716,                 0.7654,                 0.8057,                 2.0315,                0.92432,              0.0011216,              0.0011216,              0.0011216
                      7,                0.73806,                 1.0686,                0.90347,                      1,                0.93705,                  0.995,                0.76032,                0.87435,                 1.9912,                0.95778,               0.001298,               0.001298,               0.001298
                      8,                0.76057,                  1.063,                0.91127,                 0.9411,                   0.96,                0.96854,                0.72368,                0.91161,                 1.7071,                0.95225,              0.0014705,              0.0014705,              0.0014705
                      9,                0.72903,                0.92021,                0.90946,                0.97668,                      1,                0.99461,                0.77352,                0.82026,                  1.182,                0.91018,               0.001639,               0.001639,               0.001639
                     10,                0.72476,                0.95485,                0.92041,                0.99901,                      1,                  0.995,                0.76942,                0.80682,                 1.0781,                0.92615,              0.0018036,              0.0018036,              0.0018036
                     11,                0.72179,                0.87885,                  0.901,                0.99461,                      1,                  0.995,                0.79713,                0.76819,                0.99344,                 0.8959,               0.001802,               0.001802,               0.001802
                     12,                0.66167,                0.83251,                0.87099,                0.99755,                   0.98,                0.99387,                0.78275,                0.81109,                0.85503,                0.91262,              0.0017822,              0.0017822,              0.0017822
                     13,                0.69378,                0.81829,                0.90185,                0.97995,                0.97743,                0.98107,                 0.7306,                0.91724,                 0.9702,                 1.0143,              0.0017624,              0.0017624,              0.0017624
                     14,                0.73708,                0.86532,                0.93021,                      1,                0.99586,                  0.995,                0.79482,                 0.7691,                0.78872,                0.93072,              0.0017426,              0.0017426,              0.0017426
                     15,                0.68172,                0.73718,                0.88404,                      1,                0.97831,                0.99387,                0.76747,                0.86526,                0.84358,                0.95125,              0.0017228,              0.0017228,              0.0017228
                     16,                0.69149,                0.75213,                0.87525,                0.99562,                      1,                  0.995,                0.77061,                0.78284,                0.72613,                0.89548,               0.001703,               0.001703,               0.001703
                     17,                0.62218,                0.69211,                0.86094,                0.97811,                      1,                0.99461,                0.75998,                0.81917,                0.75009,                0.90179,              0.0016832,              0.0016832,              0.0016832
                     18,                0.69434,                0.74183,                 0.8835,                0.98034,                0.99724,                0.99422,                0.75341,                0.86478,                 0.6929,                0.92013,              0.0016634,              0.0016634,              0.0016634
                     19,                0.67615,                0.70433,                0.90325,                      1,                0.97936,                0.99423,                0.78333,                0.76878,                0.70758,                0.90136,              0.0016436,              0.0016436,              0.0016436
                     20,                0.62066,                0.64312,                0.86349,                0.99934,                      1,                  0.995,                0.79171,                 0.7407,                0.61098,                0.88309,              0.0016238,              0.0016238,              0.0016238
                     21,                  0.623,                0.58386,                0.86626,                0.99863,                      1,                  0.995,                0.77869,                0.77914,                 0.5834,                  0.895,               0.001604,               0.001604,               0.001604
                     22,                0.60486,                0.55575,                0.85979,                0.99846,                      1,                  0.995,                0.79292,                 0.7902,                0.57702,                0.90138,              0.0015842,              0.0015842,              0.0015842
                     23,                0.60023,                0.56517,                0.86216,                0.99874,                      1,                  0.995,                0.80231,                0.73292,                0.54227,                0.89047,              0.0015644,              0.0015644,              0.0015644
                     24,                0.55173,                  0.528,                0.86294,                0.99825,                      1,                  0.995,                0.80096,                0.76072,                0.55329,                0.89815,              0.0015446,              0.0015446,              0.0015446
                     25,                0.55176,                0.52158,                0.84818,                0.99798,                      1,                  0.995,                 0.7879,                0.74596,                0.55691,                0.87182,              0.0015248,              0.0015248,              0.0015248
                     26,                0.55703,                0.50256,                0.86042,                0.99796,                      1,                  0.995,                0.79492,                0.76691,                0.53279,                0.87609,               0.001505,               0.001505,               0.001505
                     27,                0.53954,                0.49191,                0.85409,                0.99811,                      1,                  0.995,                 0.8191,                0.72402,                0.50032,                0.88055,              0.0014852,              0.0014852,              0.0014852
                     28,                0.56979,                0.49961,                0.85519,                0.99778,                      1,                  0.995,                0.79435,                0.75905,                0.50029,                 0.8851,              0.0014654,              0.0014654,              0.0014654
                     29,                0.59002,                0.50275,                0.85932,                 0.9974,                      1,                  0.995,                0.80408,                0.72909,                0.49103,                0.88024,              0.0014456,              0.0014456,              0.0014456
                     30,                 0.5954,                0.49284,                0.83817,                0.99778,                      1,                  0.995,                0.80015,                0.74658,                0.47342,                0.88119,              0.0014258,              0.0014258,              0.0014258
                     31,                0.56419,                0.47361,                0.84102,                0.99688,                      1,                  0.995,                0.78884,                0.76338,                0.49888,                0.87876,               0.001406,               0.001406,               0.001406
                     32,                0.58812,                0.48623,                0.86268,                 0.9984,                      1,                  0.995,                0.78158,                0.79707,                0.49958,                0.89352,              0.0013862,              0.0013862,              0.0013862
                     33,                0.59713,                0.48504,                0.84843,                0.99858,                      1,                  0.995,                0.78702,                 0.7582,                0.48797,                0.89031,              0.0013664,              0.0013664,              0.0013664
                     34,                0.58384,                0.47148,                0.85079,                0.99866,                      1,                  0.995,                0.80408,                0.75553,                0.42895,                 0.8774,              0.0013466,              0.0013466,              0.0013466
                     35,                0.59414,                0.47181,                0.86596,                0.99849,                      1,                  0.995,                0.79597,                0.77614,                0.47372,                0.88437,              0.0013268,              0.0013268,              0.0013268
                     36,                0.55016,                0.46176,                0.86708,                0.99908,                      1,                  0.995,                0.78897,                0.75667,                0.45957,                0.88491,               0.001307,               0.001307,               0.001307
                     37,                0.55946,                0.45312,                0.85953,                0.99889,                      1,                  0.995,                0.79672,                0.75192,                0.44875,                0.89006,              0.0012872,              0.0012872,              0.0012872
                     38,                 0.5599,                0.44336,                0.84652,                0.99834,                      1,                  0.995,                0.79356,                0.75475,                 0.4618,                0.88385,              0.0012674,              0.0012674,              0.0012674
                     39,                0.55286,                 0.4259,                0.84874,                 0.9983,                      1,                  0.995,                0.78637,                0.76373,                0.45897,                0.89158,              0.0012476,              0.0012476,              0.0012476
                     40,                0.59593,                0.46821,                0.86318,                0.99842,                      1,                  0.995,                0.80198,                0.73908,                0.45869,                 0.8848,              0.0012278,              0.0012278,              0.0012278
                     41,                0.59803,                0.46236,                0.85269,                0.99825,                      1,                  0.995,                0.79656,                0.73677,                0.42411,                0.87818,               0.001208,               0.001208,               0.001208
                     42,                0.53153,                0.43018,                0.85495,                      1,                0.99974,                  0.995,                0.79425,                0.76583,                0.43212,                0.89915,              0.0011882,              0.0011882,              0.0011882
                     43,                0.52888,                 0.4098,                 0.8494,                0.99827,                      1,                  0.995,                0.80207,                0.71344,                0.42857,                0.87542,              0.0011684,              0.0011684,              0.0011684
                     44,                0.54134,                0.42465,                0.85026,                0.98035,                0.99794,                0.99461,                 0.7828,                0.77664,                0.44763,                0.90757,              0.0011486,              0.0011486,              0.0011486
                     45,                0.52459,                 0.4141,                0.84173,                0.99645,                   0.98,                0.98993,                0.78714,                0.73815,                0.48871,                 0.8755,              0.0011288,              0.0011288,              0.0011288
                     46,                0.56093,                0.42915,                0.85924,                0.98034,                0.99751,                0.99461,                0.78954,                0.75019,                0.43638,                0.87875,               0.001109,               0.001109,               0.001109
                     47,                0.51631,                0.39995,                0.83664,                      1,                0.99991,                  0.995,                 0.7866,                0.74485,                0.45019,                0.87946,              0.0010892,              0.0010892,              0.0010892
                     48,                0.51557,                 0.4064,                0.86222,                0.99402,                      1,                  0.995,                 0.7889,                0.75678,                0.42989,                0.88258,              0.0010694,              0.0010694,              0.0010694
                     49,                0.55944,                  0.412,                 0.8509,                0.99433,                      1,                  0.995,                0.80101,                0.75735,                0.42542,                 0.8807,              0.0010496,              0.0010496,              0.0010496
                     50,                0.50375,                0.39638,                0.83838,                0.99723,                      1,                  0.995,                0.81429,                0.76037,                0.39508,                0.87959,              0.0010298,              0.0010298,              0.0010298
                     51,                0.48247,                0.37858,                0.84325,                0.99807,                      1,                  0.995,                0.81568,                0.72227,                 0.3937,                0.87207,                0.00101,                0.00101,                0.00101
                     52,                0.46313,                 0.3625,                0.84087,                0.99873,                      1,                  0.995,                0.80699,                0.72216,                0.38309,                0.86917,              0.0009902,              0.0009902,              0.0009902
                     53,                0.49016,                 0.3623,                0.83559,                0.99868,                      1,                  0.995,                0.80108,                0.74461,                0.39748,                0.87805,              0.0009704,              0.0009704,              0.0009704
                     54,                0.48753,                0.37271,                0.83963,                0.99864,                      1,                  0.995,                0.80282,                0.74731,                0.40303,                0.87266,              0.0009506,              0.0009506,              0.0009506
                     55,                0.49185,                0.38058,                0.84528,                0.99884,                      1,                  0.995,                0.80408,                0.74341,                0.40647,                0.86967,              0.0009308,              0.0009308,              0.0009308
                     56,                 0.4903,                0.36943,                 0.8307,                0.99906,                      1,                  0.995,                0.80881,                0.75019,                0.38736,                0.87243,               0.000911,               0.000911,               0.000911
